NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.627783e-06,-1.290592e-06,-1.334669e-06,-2.583408e-06,-3.639393e-06,-4.251755e-06,-4.453745e-06,-4.409598e-06,-3.937595e-06,-3.027826e-06,-1.88914e-06,-1.967032e-06,-3.495214e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-5.722192e-06,-6.953094e-06,-7.936226e-06,-9.122906e-06,-1.062833e-05,-1.230411e-05,-1.30862e-05,-1.284158e-05,-1.167347e-05,-1.061441e-05,-9.884238e-06,-9.344985e-06,-8.516879e-06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.026333e-05,-1.111323e-05,-1.105744e-05,-1.325608e-05,-1.790356e-05,-2.295406e-05,-2.734164e-05,-2.922329e-05,-2.830366e-05,-2.478404e-05,-2.049596e-05,-1.656854e-05,-1.509305e-05,-1.592666e-05,-1.578956e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.212578e-05,-1.14002e-05,-1.301978e-05,-1.779491e-05,-2.306958e-05,-3.079221e-05,-4.109667e-05,-5.169076e-05,-5.625512e-05,-5.310801e-05,-4.372611e-05,-3.425286e-05,-2.744907e-05,-2.308674e-05,-1.912815e-05,-1.833186e-05,-1.999814e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.087115e-05,-1.5563e-05,-1.842675e-05,-2.343691e-05,-3.977648e-05,-6.914268e-05,-0.000104769,-0.0001371876,-0.0001505799,-0.0001394707,-0.0001086428,-7.365793e-05,-4.495042e-05,-2.935097e-05,-2.531065e-05,-2.338491e-05,-1.939256e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.231359e-05,-1.549889e-05,-1.504935e-05,-2.711113e-05,-6.085769e-05,-0.0001212021,-0.0002236493,-0.0003573968,-0.0004844256,-0.0005357931,-0.0004902107,-0.0003664886,-0.0002313647,-0.0001285803,-6.825742e-05,-3.469946e-05,-2.305737e-05,-2.456476e-05,-2.211732e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.366851e-05,-1.159991e-05,-1.416732e-05,-3.858667e-05,-8.750539e-05,-0.0002260454,-0.0005441609,-0.001044623,-0.00159972,-0.002055884,-0.002228582,-0.002074878,-0.001629333,-0.00106823,-0.0005621635,-0.0002388071,-9.806668e-05,-4.809722e-05,-2.332336e-05,-2.140217e-05,-2.465441e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.229066e-05,-6.966827e-06,-2.031761e-05,-4.732686e-05,-0.000136481,-0.0004920868,-0.001329755,-0.002651673,-0.004195713,-0.005536707,-0.006418538,-0.00673084,-0.006462763,-0.005608903,-0.004276568,-0.002722425,-0.001379983,-0.0005235631,-0.0001520275,-5.899385e-05,-3.099957e-05,-1.722985e-05,-2.400318e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-7.551938e-06,-7.255913e-06,-2.731708e-05,-5.2823e-05,-0.0002660876,-0.001077615,-0.002835761,-0.005472613,-0.007973257,-0.01003182,-0.01160322,-0.01259144,-0.01294661,-0.01266595,-0.01173875,-0.01021248,-0.008175869,-0.005667241,-0.002981034,-0.001149989,-0.0002967532,-6.676415e-05,-3.99838e-05,-1.832065e-05,-1.931344e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.752965e-06,-1.31695e-05,-2.565928e-05,-7.814045e-05,-0.0005661303,-0.002096491,-0.005324475,-0.008707385,-0.01191594,-0.01467803,-0.01686034,-0.01848724,-0.01951213,-0.01989118,-0.01961965,-0.018693,-0.0171527,-0.01503973,-0.01232095,-0.009109046,-0.005645054,-0.002274311,-0.0006303699,-9.826859e-05,-3.94475e-05,-2.602431e-05,-1.41262e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-2.089564e-06,-1.880549e-05,-1.701103e-05,-0.000167309,-0.001070226,-0.003911426,-0.007958075,-0.01202326,-0.01578052,-0.01912233,-0.02198045,-0.02427244,-0.02597586,-0.02705219,-0.02746028,-0.02719788,-0.02626077,-0.02468882,-0.02251576,-0.01975841,-0.01648039,-0.0127195,-0.008562825,-0.004294414,-0.001217307,-0.0002040591,-3.061422e-05,-3.411101e-05,-1.369125e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-6.141468e-06,-1.600222e-05,-1.789181e-05,-0.0003703634,-0.001911509,-0.0061773,-0.01054711,-0.01514223,-0.01942622,-0.02334727,-0.02686502,-0.02985755,-0.03226168,-0.03404177,-0.03517399,-0.03561508,-0.03536748,-0.0344242,-0.03282773,-0.03059761,-0.02776589,-0.02437855,-0.02053894,-0.01625983,-0.01154602,-0.006933364,-0.002219859,-0.0004529632,-3.309674e-05,-3.196118e-05,-1.960084e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.101291e-05,-6.746737e-06,-5.180357e-05,-0.0006776705,-0.00350962,-0.008003014,-0.01312346,-0.01796594,-0.02274391,-0.02728217,-0.0314213,-0.03510142,-0.03823562,-0.04076456,-0.04264238,-0.04384208,-0.04432829,-0.0440996,-0.04315375,-0.04152478,-0.03923624,-0.03633023,-0.03285329,-0.0288763,-0.02443538,-0.01966195,-0.01469795,-0.009227564,-0.004198361,-0.0008558097,-7.943185e-05,-2.032174e-05,-2.809406e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-1.017395e-05,4.141417e-06,-0.0001489553,-0.001132824,-0.005342367,-0.009905181,-0.01513568,-0.02048868,-0.02569384,-0.03077022,-0.03554052,-0.03989894,-0.0437731,-0.04707344,-0.04973918,-0.05172736,-0.05300881,-0.0535535,-0.05335579,-0.05241739,-0.05076518,-0.0484254,-0.04543551,-0.0418475,-0.03773606,-0.03315715,-0.02818887,-0.02298297,-0.01745187,-0.01182678,-0.006661449,-0.001502285,-0.0002218449,-4.724659e-06,-2.88491e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-3.650296e-06,-4.787816e-06,-1.34665e-06,-0.0003098546,-0.002141162,-0.006421674,-0.01165318,-0.01688451,-0.02244419,-0.02816458,-0.033724,-0.03908051,-0.0441244,-0.04872552,-0.0528066,-0.05628965,-0.05911746,-0.06123951,-0.06262658,-0.06324849,-0.06310034,-0.06218111,-0.06051591,-0.05812885,-0.0550645,-0.05137123,-0.0471152,-0.04235877,-0.03721331,-0.03176167,-0.02599741,-0.02022109,-0.01454765,-0.008458726,-0.003038519,-0.000486167,-1.353334e-05,-2.106835e-05,-2.054699e-05,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
